trust_type,trust_name,system_name,user_category,sus_score,csus_score,review_positive_text,review_negative_text,,,
Community Trust,Solent NHS Trust,SystmOne Community (TPP),Secondary / Tertiary Care Doctor,27.5,17.5,"search function.
Minimal wait after each click.","Everything!
Bring back paper records!!!!!",,,
Mental Health Foundation Trust,Greater Manchester West Mental Health NHS Foundation Trust,Paris (Civica),Secondary / Tertiary Care Doctor,12.5,7.5,I can put bullet points in the notes,"I would bin it entirely. It is awful. 
I would like to go back to my previous system icis .
The fact I can't read notes in one continuous summary and documents are all over the place makes it a real struggle to use",,,
Acute Foundation Trust,Luton and Dunstable University Hospital NHS Foundation Trust,Evolve (Kainos),Secondary / Tertiary Care Doctor,60,32.5,Access mostly,"Better formatting of documents, wading through a single admission to find information is very hard and long winded ",,,
Mental Health Trust (non-Foundation),OtherSouth London and Maudsley NHS FT,SystmOne Prison (TPP),Secondary / Tertiary Care Doctor,72.5,30,"Speed, accessibility and intuitive to use","The way in which attached correspondence is listed or displayed,",,,
Mental Health Foundation Trust,Derbyshire Healthcare NHS Foundation Trust,Paris (Civica),Secondary / Tertiary Care Doctor,35,5,Not much,Bring back Care Notes,,,
Mental Health Foundation Trust,Dorset Healthcare University NHS Foundation Trust,RiO (Servelec Healthcare),Secondary / Tertiary Care Doctor,57.5,32.5,Relative absence of tick boxes,Aged interface. Inflexibility of displays & data entry points.,,,
Scottish Health Board,NHS Forth Valley,Kodak R4 (Carestream Dental),Dental Nurse / Hygienist /  Dental,55,27.5,The fact that I can access all the clinics I work in within my health board.,I would have it updated regularly with the current version and not use it as it is behind and out of date. Many errors show and the screen freezes frequently and this slows down patient care.,,,
Mental Health Foundation Trust,Derbyshire Healthcare NHS Foundation Trust,Paris (Civica),Secondary / Tertiary Care Doctor,32.5,0,"Barely anything.  It is cumbersome, impossible to use within a coventianal consultation and does  contain an adequate summary of historical information.
",We need a different one. It is a national scandal that this company has been allowed to get away with this.  ,,,
Mental Health Foundation Trust,Surrey and Borders Partnership NHS Foundation Trust,SystmOne Mental Health (TPP),Secondary / Tertiary Care Doctor,7.5,5,Quick to open and close a patient record. ,Most things!,,,
Community Trust,Liverpool Community Health NHS Trust,EMIS Web (EMIS Health),"Community Nurse - School Nurse, Health Visitor etc",92.5,47.5,,,,,
Mental Health Foundation Trust,Somerset Partnership NHS Foundation Trust,R4,Dentist,57.5,30,"Intergrates the digital x-ray software to the electronic notes
Keeps an audit trail
Clear, easy dental charting facility
Yellow post-it allert facility
Can merge word documents in correspondence section","Medical history is not detailed enough for our patients
Too many glitches & can crash unexpectedly
Can take time to load sometimes
Cannot get into certain note tabs from the clinical charting area which means you have to go back out into the main appointments diary (takes more time)",,,
Community Trust,OtherPlymouth Community Healthcare CIC,SystmOne Mental Health (TPP),Secondary / Tertiary Care Doctor,47.5,12.5,Ability to find out what other staff are involved and what they're doing,Improve identifiability of documents - takes ages to find anything,,,
Mental Health Trust (non-Foundation),Worcestershire Health and Care NHS Trust,Carenotes (Advanced Health & Care),Secondary / Tertiary Care Doctor,50,25,,,,,
Mental Health Foundation Trust,South Staffordshire and Shropshire Healthcare NHS Foundation Trust,RiO (Servelec Healthcare),Secondary / Tertiary Care Doctor,27.5,15,"L

Progress   notes





","Frequent shut down a loss of laboriously typed  notes







Frequent shut down loosing laboriously typed notes.  Slow changes from s reen to screen
 


",,,
Mental Health Foundation Trust,Somerset Partnership NHS Foundation Trust,Software of Excellence (Henry Schein),Dentist,55,27.5,"Data extraction for reporting is readily accessible from the data warehouse, and quite comprehensive.
Charting is a bit weak.
Note taking can be easily standardised. Quick plans and watch items are a significant strength","Charting needs improving for speed.

Interestingly we have just converted to R4, so it will be good to compare the two. It's too soon to comment on R4; time will tell how it functions.",,,
Acute Foundation Trust,Aintree University Hospitals NHS Foundation Trust,bla bla,Manager,50,27.5,,,,,
Mental Health Trust (non-Foundation),Manchester Mental Health and Social Care Trust,Amigos (Usable Systems),Secondary / Tertiary Care Doctor,15,12.5,nothing,"completely useless.
i have had the misfortune to be using this for 15 years
it is not fit for purpose",,,
Scottish Health Board,NHS Orkney,EMIS PCS (EMIS Health),Primary Care Doctor - GP,87.5,47.5,Problem list : active and past significant problems,Improve the dispensing side of system,,,
Mental Health Trust (non-Foundation),Avon and Wiltshire Mental Health Partnership NHS Trust,RiO (Servelec Healthcare),Secondary / Tertiary Care Doctor,35,15,Access from all sites,"Simplify streamline
Represent the patient journey
Reflect how teams work
",,,
Mental Health Foundation Trust,South London and Maudsley NHS Foundation Trust,ePJS (SLaM),"Physiotherapy, OT, Medical Technicians",37.5,27.5,That it exists,"It's user-unfriendly, not fit for purpose and there are many features that would be useful that are either buried or non existent.",,,
Community Trust,Community Dentistry (anywhere),Software of Excellence (Henry Schein),Dentist,62.5,27.5,I nnot say ther is anything I particularly like,Too many pop up boxes that I have to click through,,,
Acute Trust (non-Foundation),Southport and Ormskirk Hospital NHS Trust,Evolve (Kainos),Secondary / Tertiary Care Doctor,70,27.5,Stable,"Necessary updates with integrated charts taking too long (>2 years)
More functionality",,,
Community Trust,Community Dentistry (anywhere),Kodak R4 (Carestream Dental),Dental Therapist,40,20,Chart is easy to see read,The perio charting function is dreadful.  It  is very hard to do a DPC.  Most nurses find it difficult and confusing.  It is not easy to chart bleeding suppuration and pocket depth.,,,
Acute Foundation Trust,St George’s University Hospitals NHS Foundation Trust,cerner,Secondary / Tertiary Care Doctor,15,7.5,"when it works it is good. However, it is too prone to crashes, illogicalities, inconsistencies. Support is useless  ",Make it work properly,,,
Community Trust,Lincolnshire Community Health Services NHS Trust,Kodak R4 (Carestream Dental),Dental Nurse / Hygienist /  Dental,50,20,Reading the R4 patients notes about treatment or communication regarding appointments at any location is vital for better understanding for all involved.No need for patients notes to be sent through the post.Hopefully mistakes should be limited.  ,Less clicks involved when charting patients teeth.Information available ic caries/broken/faceted,just takes so many clicks.,,
Clinical Commissioning Group (CCG - Primary Care - England),NHS PORTSMOUTH CCG,SystmOne GP (TPP),Primary Care Doctor - GP,10,12.5,Not much,Make it like emis web,,,
Mental Health Trust (non-Foundation),St Andrews Healthcare (3rd Sector Non-Profit),RiO (Servelec Healthcare),Secondary / Tertiary Care Doctor,60,35,I believe RiO is simple: its complexity comes from the modelling of complex clinical processes that is not an IT issue to solve,"It needs to be able to pull information fields in one form to any other form, to avoid duplication.",,,
Community Trust,Staffordshire and Stoke on Trent Partnership NHS Trust,Kodak R4 (Carestream Dental),Dental Nurse / Hygienist /  Dental,55,20,its quite easy to use once you get used to it but it has lot of faults,"information with regard to pt eg comms, medicals, notes should be easily seen on one screen not as it is now - looking though various screens.
I would also like the address finder re-instated within the system - this is a very useful tool that has been lost! I dont like the fact that we cant scan directly into patients notes , like we could before, but have to put the scanned documents into our own personnal files and then import them  - surely this is not a good data pretection system.",,,
Community Trust,Community Dentistry (anywhere),Kodak R4 (Carestream Dental),Dental Nurse / Hygienist /  Dental,30,15,,"All the multiple screens it takes you through for an end destination. 
The written notes are cumbersome to scroll through",,,
Community Trust,Bridgewater Community Healthcare NHS Foundation Trust,SystmOne Child Health (TPP),"Community Nurse - School Nurse, Health Visitor etc",32.5,12.5,Can access up to date immunisation status,"More information needs to be available. Currently still using mostly paper records WIC GP & other healthcare input not routinely accessible. Apparently there us an option for healthcare workers to ""share"" their records but most staff nor aware of this feature.",,,
Scottish Health Board,NHS Greater Glasgow and Clyde,TrakCare (Intersystems),Secondary / Tertiary Care Doctor,17.5,10,The database appears robust and stable so th system is usually accessible,A huge amount but most of all to redesign focussed on a patient-centric view and a clincian-centric view rather than episodes of care that allows users to see the work they need to do. I have counted over  40 places I have to enter myself into a preference. The general look and feel has poor usability with far too frequent need for mouse clicks ,,,
Acute Foundation Trust,Frimley Health NHS Foundation Trust,Patient Centre (CSC),Secondary / Tertiary Care Doctor,35,5,Nothing,"It is basically a repository for unindexed, unsearchable blobs of data e.g. Word documents. It is pointless and no better than paper.",,,
Scottish Health Board,NHS Greater Glasgow and Clyde,Orion Health Consult / Clinical Portal (aka Concerto) (Orion Health),Secondary / Tertiary Care Doctor,85,45,"Superb functions for searching , overview of a wide range of material. Easy to use ",The new forms are causing us problems. The system has various components not all of which we have access to but look promising. ,,,
Acute Foundation Trust,Frimley Health NHS Foundation Trust,Patient Centre (CSC),Secondary / Tertiary Care Doctor,35,5,Nothing,"It is basically a repository for unindexed, unsearchable blobs of data e.g. Word documents. It is pointless and no better than paper.",,,
Acute Foundation Trust,Sheffield Teaching Hospitals NHS Foundation Trust,Lorenzo (CSC),Manager,7.5,7.5,,Scrap it its terrible ,,,
Clinical Commissioning Group (CCG - Primary Care - England),NHS WAKEFIELD CCG,SystmOne GP (TPP),Primary Care Doctor - GP,55,20,It is easy to quickly pick up and use. Auditing tools are powerful. ,Not intuitive and no easy to customize for ones own shortcuts. Auditing though powerful is also cumbersome and has bizarre idiosyncrasies. ,,,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,EPR (Graphnet Health),"Physiotherapy, OT, Medical Technicians",45,17.5,I can see clinic letters and some clinical notes,Integrated with in-patient clinical notes and appointment letters ,,,
Mental Health Foundation Trust,Southern Health NHS Foundation Trust,RiO (Servelec Healthcare),Secondary / Tertiary Care Doctor,47.5,35,"Good range of free text search functions in the progress notes. 
The basic functions are easy to learn. 
Relatively quick to open and run. 
","A better uploaded document system - it's hard to find what you're looking for. 
More integration between the progress notes and other sections eg. hyperlinks. 
A less cluttered interface. 
",,,
Community Trust,Community Dentistry (anywhere),Kodak R4 (Carestream Dental),Dentist,72.5,25,ease of use,The way the historic notes are viewed it can take a long time to reach a particular appointment.  It would be eaier if notes were laid out according to the day on which they were recorded then you could click on to view hte notes.  The system was previously set out in this way and I feel that this was less time consuming.,,,
Welsh Health Board,Aneurin Bevan Health Board,Adastra (Advanced Health & Care),Primary Care Doctor - GP,100,45,Simple User nterface,"Single Sign on and integration with Welsh Clinical Portal. Consistency with loading issues with WGPR (Prev IHR Individual Health Record, now may be called Welsh GP Record)",,,
Clinical Commissioning Group (CCG - Primary Care - England),"NHS DURHAM DALES, EASINGTON AND SEDGEFIELD CCG",SystmOne GP (TPP),Primary Care Doctor - GP,57.5,42.5,single unified system fast responsive ability to create a well organised record,"1 Need to be able to see when previous prescription issues when doing electronic prescriptions
2 Terminology interface needs redesign in order to comply with best practice
3 Better tools to manage problem lists
4 Sharing model needs significant changes most users don't understand and as such too much information is hidden",,,
Welsh Health Board,Aneurin Bevan Health Board,Adastra (Advanced Health & Care),Primary Care Doctor - GP,100,45,Simple User nterface,"Single Sign on and integration with Welsh Clinical Portal. Consistency with loading issues with WGPR (Prev IHR Individual Health Record, now may be called Welsh GP Record)",,,
Clinical Commissioning Group (CCG - Primary Care - England),NHS SOUTH WORCESTERSHIRE CCG,EMIS Web (EMIS Health),Primary Care Nurse - eg GP Practice Nurse,67.5,25,It's intuitive ,Make the screen less cluttered,,,
Community Trust,OtherCHCP Hull Dental Services,Kodak R4 (Carestream Dental),Dentist,45,35,Templates make it easy to remember to record all findings,Case mix can only be accessed at completion of course of treatment on the updated version. This can make it difficult if I need this information once treatment is complete & has been processed. For example if I need this information for a referral.,,,
Community Trust,Community Dentistry (anywhere),Kodak R4 (Carestream Dental),Dentist,57.5,27.5,Templates make sure all clinical findings iare recorded,"No access to case mix records once treatment plan is processed, on the updated version. ",,,
Clinical Commissioning Group (CCG - Primary Care - England),NHS SHROPSHIRE CCG,EMIS Web (EMIS Health),Primary Care Doctor - GP,75,27.5,"Relatively easy to use for basic everyday functions. Consistency between different functions, so when new functions are added it's easy to learn them.","The system has capability to do a lot more than I know how to do. There are a lot of things it does that I don't know about - it would be helpful to know what I don't know.
Search and diary functions can be tricky to set up.
The main problem is really to do with lack of training time - I only ever had a couple of hours training in total - never enough to cover more than the basics.",,,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,CIS,Secondary / Tertiary Care Doctor,30,40,,,,,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,EPR (Graphnet Health),Secondary / Tertiary Care Doctor,72.5,17.5,,,,,
Welsh Health Board,Cardiff and Vale University Health Board,Vision 3 (INPS),Primary Care Doctor - GP,40,42.5,"Information at my fingertips in a way that was impossible with paper records (e.g. who has disease X, who is on drug Y)",Clumsy and non-intuitive user interface,,,
Clinical Commissioning Group (CCG - Primary Care - England),NHS OXFORDSHIRE CCG,EMIS Web (EMIS Health),Primary Care Doctor - GP,82.5,37.5,Good interface easy to get the information I want out of it,"It would be nice if it didn't crash several times a day, which is very frustrating. Also doesn't have fully implemented hot keys for short cuts",,,
Scottish Health Board,NHS Western Isles,Software of Excellence (Henry Schein),Dentist,60,30,easy to share information with colleagues. no more unreadable notes. ,easier customer interface,,,
Clinical Commissioning Group (CCG - Primary Care - England),NHS NORTH EAST ESSEX CCG,EMIS Web (EMIS Health),Manager,87.5,40,Layout and ability to personalise functions and automate many tasks,Complexity of building searches and concepts when wanting to layer filters.,,,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,ICIP philips,"Physiotherapy, OT, Medical Technicians",77.5,27.5,easy of use ,the lack of compatibility of different systems meaning it doesn't tranfer infomation which create clinical risks ,,,
Clinical Commissioning Group (CCG - Primary Care - England),NHS EALING CCG,SystmOne GP (TPP),Primary Care Doctor - GP,62.5,32.5,"Stability, Uptime, speed of deployment, integration of modules, no waiting in queues for telephone support, remote working capability, low bandwidth required to access. Speed of updates"," UI doesn't scale well on small screens, in consistency of design principles across system (mix of modal windows, popups, ok, yes know, buttons move location seemingly randomly), better clarity around dependencies eg with nhs mail etc. Timing or report generation is not useful (early evening - it lock out users form creating their own reports) Data extraction is clunky and poor. ",,,
Acute Foundation Trust,Frimley Health NHS Foundation Trust,RiO (Servelec Healthcare),"Physiotherapy, OT, Medical Technicians",40,20,Can be used by different disciplines. ,"Has the potential to be a useful system if all the components worked and if it worked consistently. 

Steps to record information can be time consuming and burdensome. Also, some useful options that could help manage a caseload are not available.",,,
Clinical Commissioning Group (CCG - Primary Care - England),NHS HERTS VALLEYS CCG,EMIS Web (EMIS Health),Primary Care Doctor - GP,60,25,,"interoperability
searches and templates and protocols far to complicated
",,,
Community Trust,Staffordshire and Stoke on Trent Partnership NHS Trust,Kodak R4 (Carestream Dental),Dental Nurse / Hygienist /  Dental,75,27.5,Reasonably easy to use and everything is contemporaneous and accountable,Clinicians have to spend too much time writing notes before talking to a patient,,,
Acute Foundation Trust,Derby Hospitals NHS Foundation Trust,Lorenzo (CSC),"Administrative staff - eg ward clerk, clinical coder, secretary",35,0,,,,,
Scottish Health Board,NHS Ayrshire and Arran,EMIS PCS (EMIS Health),Manager,25,25,a few aspects of functionality and how the web aspect is integrateed,"most of it, poorpy integrated, unable to open multiple windows at once without opening program multiple times. need to ba able to see history and results at asame time. also same with notes and appontments... the requirement to flick between screen is currently too cumbersome. In addition reporting is fairly poor and the system as a whole is not nearly as intuitive as INPS offering.",,,
Community Trust,Staffordshire and Stoke on Trent Partnership NHS Trust,Kodak R4 (Carestream Dental),Dentist,40,12.5,,"ITS USABILITY, ITS TOO COMPLICATED LEAVING MUCH ROOM FOR ERRORS",,,
Acute Foundation Trust,Salford Royal NHS Foundation Trust,Kodak R4 (Carestream Dental),Dentist,60,25,the treatment plan page,everything in a single window,,,
Acute Foundation Trust,Guy's and St Thomas' NHS Foundation Trust,Clinical manager ISOFT,Secondary / Tertiary Care Doctor,77.5,32.5,That anything can be uploaded and accessed anywhere in the hospital ,"WINDIP is hopeless, cumbersome and time consuming 
The way some of the information is retained - when printed its easy to read but if read unscreen its sometimes unmanageable eg discharge summaries ",,,
Community Trust,Staffordshire and Stoke on Trent Partnership NHS Trust,Kodak R4 (Carestream Dental),Dentist,27.5,7.5,"Nothing. It is over complex, unreliable and sometimes dangerous for patient care. The screen can show one patient's dental chart and treatment plan but the notes from a totally different patient. The only option is to continually reboot the system and that can take up to 10 minutes! When we all first log on, it has to be done 4 times over to get onto Kodak R4. Sometimes this can take up to 10 minutes (occasionally 20 minutes in dental reception)! Nobody in the business world would tolerate this colossal waste of time and effort.",I would simplfy the whole system and vastly improve its speed. Bandwith is totally inadequate. Computers seem unable to cope with the system's complexity.  The IT department are not very helpful and seem out of their depth and generally expect me to resolve any IT problems! I'm a dentist. I don't expect IT to resolve my patients' problems and they shouldn't expect me to resolve their problems!,,,
Mental Health Foundation Trust,Cumbria Partnership NHS Foundation Trust,EMIS Web (EMIS Health),Manager,40,25,,,,,
Mental Health Foundation Trust,Cumbria Partnership NHS Foundation Trust,EMIS Web (EMIS Health),Manager,40,25,,,,,
Community Trust,Sussex Community NHS Trust,SystmOne Community (TPP),IT or Technical Staff,35,30,Information from different services and users of the system is easily visble if it has been shared.,Needs root and branch review and rewrite to make it less resource-intensive to implement and maintain for community organisations. (Was designed for GP practices and the difference in scale is enormous.),,,
Acute Trust (non-Foundation),Royal Liverpool and Broadgreen University Hospitals NHS Trust,Epro (Bluewire Technologies),Secondary / Tertiary Care Doctor,90,42.5,Very easy to use. Very well thought out interface,Nothing,,,
Clinical Commissioning Group (CCG - Primary Care - England),OtherTest CCG,Vision 3 (INPS),Primary Care Nurse - eg GP Practice Nurse,50,20,This is a test,this is a test,,,
Scottish Health Board,NHS Lanarkshire,TrakCare (Intersystems),Secondary / Tertiary Care Doctor,50,15,,"Doesn't give enough detail  recording cancellations , these disappear from clinic screen . Clinical risk in not knowing about these.  Outcome data limited . Would be nice to be able to look at  ratios of new patients who cancel as well as DNA . Also by postcode . Help with service development . No cross trust access , so can't see conflicting appts , new appts elsewhere. 
Have to log on to separate clinical portal for patient clinical info. ",,,
Scottish Health Board,NHS Greater Glasgow and Clyde,TrakCare (Intersystems),Secondary / Tertiary Care Doctor,60,32.5,"Results, clinical letters (clinical portal) and clinic admin including requesting tests on same system. Good for admin of clinics. ","1. Ability to keep >1 page open to avoid having to reopen last letter etc when checked result
2. Better labelling of clinical correspondence to improve speed of finding relevant clinic letter
3. Does not capture clinical data (for audit and secondary research
4. Separate section for clinical research info (as source notes)",,,
Acute Trust (non-Foundation),Oxford University Hospitals NHS Trust,Millennium (Cerner),Secondary / Tertiary Care Doctor,22.5,17.5,Contains lots of useful information in one place,Slow. Cumbersome. Appalling interface. Makes ward rounds worse as half the team are outside the curtain tending to the computer,,,
Acute Foundation Trust,Salford Royal NHS Foundation Trust,Sunrise Clinical Manager (Allscripts),Secondary / Tertiary Care Doctor,62.5,30,All entries are readable and different inputs can be seen at a glance.,The ability to add own outcome measures and disease specific templates without waiting years for it to become a priority.,,,
Community Trust,Community Dentistry (anywhere),SOEL Health,"Administrative staff - eg ward clerk, clinical coder, secretary",67.5,32.5,"I found the system simple to grasp, but I do possess considerable experience with similar systems so cannot advise from the position of a novice. I fear that users with less IT experience in general may find the system functionality daunting. ","Make it far more like Lorenzo/PAS, and allow it to link up to those systems to avoid having to use SPINE to locate informaiton such as NHS numbers.",,,
Acute Trust (non-Foundation),Hull and East Yorkshire Hospitals NHS Trust,Lorenzo (CSC),Secondary / Tertiary Care Doctor,15,12.5,Nothing,"Almost everything.  Too slow, hangs regularly, too complex, poor displays.",,,
Acute Trust (non-Foundation),London North West Healthcare NHS Trust,Patient Content Store (Teleologic),Secondary / Tertiary Care Doctor,42.5,30,"Visual representation in a timeline of all information available about a patient: clinical correspondence, attendances (from PAS), pathology results, scanned documents (ED attendances).","Cannot search by date of birth. No facility to record consultations directly. Echocardiography and coronary angiography results currently not included. Not all departments upload their clinical correspondence. No direct link to the ICE system so need to sign in separately to see which tests have been requested. Slightly cumbersome link to PACS (only for imaging that has been reported).
A new clinical portal is in the process of being commissioned, to be followed eventually by a full electronic medical record that would allow the organisation to go paperless for clinical use.",,,
Acute Trust (non-Foundation),Mid Yorkshire Hospitals NHS Trust,Windip,Secondary / Tertiary Care Doctor,15,10,Nothing,"Stability, the way information is cataloged, speed of the program, there's too much missing information.",,,
Acute Foundation Trust,Taunton and Somerset NHS Foundation Trust,Maxims (IMS Maxims),Secondary / Tertiary Care Doctor,57.5,27.5,The interface and the fact that it is open source and the company is very procative in addressing issues,Better integration with our other systems,,,
Acute Trust (non-Foundation),Hull and East Yorkshire Hospitals NHS Trust,Lorenzo (CSC),Secondary / Tertiary Care Doctor,7.5,5,Nothing,Everything,,,
Acute Trust (non-Foundation),Nottingham University Hospitals NHS Trust,In House System (In House),Secondary / Tertiary Care Doctor,57.5,25,Quick,"Hardware support is hardware aspects of the system are unreliable, insufficient and take too long to replace/service",,,
Acute Foundation Trust,University College London Hospitals NHS Foundation Trust,eCare Logic (CGI),Secondary / Tertiary Care Doctor,70,15,"Simple, cheap and does interfer with patient interaction.
Muc better than cumbersome ECR systems e.g. EPIC","Better links with PACs
Better highlighting and triggering of abnormal results
",,,
Acute Trust (non-Foundation),Portsmouth Hospitals NHS Trust,EPR (Graphnet Health),Secondary / Tertiary Care Doctor,60,30,"easy to search historical letters, results, scans","Allow pdfs to be inserted, eg external results and letters could be added to patient record",,,
Acute Foundation Trust,Royal Free London NHS Foundation Trust,Millennium (Cerner),Secondary / Tertiary Care Doctor,85,40,"Key fact:  I am talking about the BARNET/CHASE Cerner millennium EPR  NOT the standard system in use on the RFH hampstead site.  The BCF precursor Trust worked with Cerner over many years to develop a very user-friendly EPR with everything in one place.  The challenge now is to bring the RF Hampstead Cerner millennium applications up to BCF standard before merging  - watch this space over the next year!  
I LOVE the the message centre and having all my patients' results, orders, all clinic letters sorted by specialty and date, etriage for referrals, discharge summaries on one easy-to-use interface.  Easy to proxy inbox when away, we sign out clinic letters in EPR (dictateIT) and triage referrals in EPR",bring eprescribing in (summer 2016).  We have to face the challenge of how much past history to keep in EPR when we bring in our archive EDRM and get rid of paper. I think 5 years. Integrate the letter dictation system fully. Develop the 'database' patient list function.  Better flags and alerts.  Capacity to detect the missing test - for drug monitoring,,,
Acute Trust (non-Foundation),Barts Health NHS Trust,Millennium (Cerner),Secondary / Tertiary Care Doctor,2.5,5,Does allow trust wide notes,Everything.,,,
Acute Trust (non-Foundation),University Hospitals of North Midlands NHS Trust,Medway (System C),Secondary / Tertiary Care Doctor,52.5,20,"Medway is often slow, and sometimes crashes completely.","Speed. 
Reliability.",,,
Acute Trust (non-Foundation),Hull and East Yorkshire Hospitals NHS Trust,Lorenzo (CSC),Secondary / Tertiary Care Doctor,7.5,0,"Ability to integrate with summary care records.
Facility to look up pending outpatient/clinic appointments.",This system is not fit for purpose. It should be rid of altogether.,,,
Scottish Health Board,NHS Lothian,TrakCare (Intersystems),Secondary / Tertiary Care Doctor,45,27.5,"Access to patient notes, notes from previous admissions, upcoming appointments (cross speciality) and results of investigations all in the one place. Electronic clinical notes mean no need for deciphering handwriting. ",Unnecessarily cumbersome to use. Very slow across our network. Would be better if blood results opened quickly and alongside other Windows as standard. Would no doubt be improved by good dual screen upgrade (plus provision of extra monitors). Would like electronic prescribing and electronic transfer of discharge prescription direct to pharmacy. ,,,
Acute Trust (non-Foundation),Hull and East Yorkshire Hospitals NHS Trust,Lorenzo (CSC),Secondary / Tertiary Care Doctor,10,2.5,The only thing I have found that I like is being able to look back to ward/clinic on a previous date and see patient list from that date and then track through what has happened since but it is SOOOOO slow.,Just about everything - it tried to be too clever. The screens/colours are awful. Making any kind of booking/ordering tests everything is slow. Looking up previous clinic correspondence is difficult as hard to tell which specialty generated what letter so you end up going in and out of endless documen trying to find what you want. The same is true of viewing lab results  - cumulative function is there but soon off the screen etc. It constantly freezes. the list just goes on. ,,,
Acute Trust (non-Foundation),Hull and East Yorkshire Hospitals NHS Trust,Lorenzo (CSC),Secondary / Tertiary Care Doctor,0,0,None,"Become intuitive, user friendly 
More quick (now it is taking at least 3 minutes after a click to do the action)
Less clutter 
",,,
Acute Foundation Trust,Dorset County Hospital NHS Foundation Trust,VitalPAC (The Learning Clinic),Secondary / Tertiary Care Doctor,60,25,,,,,
Acute Foundation Trust,Southend University Hospital NHS Foundation Trust,Medway (System C),Secondary / Tertiary Care Doctor,10,0,"Nothing, It was forced on the ED by management who bought it for the whole hospital.",Find the nearest bin for the hardware & software.,,,
Acute Trust (non-Foundation),Hull and East Yorkshire Hospitals NHS Trust,Lorenzo (CSC),"Physiotherapy, OT, Medical Technicians",40,25,when its available to access most clinical data in one place,often not available to access plus has too many clicks to get to the information that is required,,,
Acute Trust (non-Foundation),Oxford University Hospitals NHS Trust,Millennium (Cerner),Secondary / Tertiary Care Doctor,27.5,22.5,Nothing,"Not intuitive, slow to load results, be able to filter lab results by type more easily for long time scales, very cumbersome, EPMA has no safety features",,,
Community Trust,OtherCity health care partnership cic,SystmOne Community (TPP),IT or Technical Staff,75,35,Flexibility to adapt to requirements of varying services,Better integration ,,,
Acute Trust (non-Foundation),Hull and East Yorkshire Hospitals NHS Trust,Lorenzo (CSC),Secondary / Tertiary Care Doctor,25,15,Can amend clinical notes in real time.,"Link between Lorenzo and previous system through portal is very unreliable and inconsistent between different PCs.  This needs to be made much more reliable.
To basic tasks there are far too many unnecessary clicks - making the system inefficient and complicated to use,  To make a referral = 15 clicks most of which are clinically irrelevant.  This process needs to be smoothed out.
To change a consultant name for investigation request or discharge summary process is unnecessarily complex again with multiple clicks making this a complex administrative task, for something that should be much slicker.
Lorenzo is not adequately integrated to Cayder system where a lot of clinical information is inputted.
System needs to be much quicker to load and move from one page to another.
System needs to be more stable and not crash and need reloading as often as it does.
National system needs stabilising for this system - to allow hospitals to keep functioning.
System should have appropriate alerts which is linked to email.",,,
Acute Trust (non-Foundation),"Barking, Havering and Redbridge University Hospitals NHS Trust",Epro (Bluewire Technologies),Secondary / Tertiary Care Doctor,65,22.5,Ability to access letters and no dependency on patients notes,The dictations during clinic can be a night mare. I prefer to dictate asap following patient review as then the memory/details are more correct and complete. ,,,
Acute Foundation Trust,Royal Free London NHS Foundation Trust,Millennium (Cerner),Secondary / Tertiary Care Doctor,20,7.5,the results are all in one place ,"the systems are not fit for purpose, but digital health is the new vogue of medicine. it is have a serious impact on consultant producivity, but very importantly there are no standards that the companies or trusts need to adhere to. If UKAS audited they would have series of criticial findings. 
we need proper ethnographic research and the pathways built around patients and physicians and not vice versa as is the case now. 

Pratima Chowdary 
p.chowdary@ucl.ac.uk ",,,
Acute Trust (non-Foundation),Hull and East Yorkshire Hospitals NHS Trust,Lorenzo (CSC),"Physiotherapy, OT, Medical Technicians",57.5,32.5,easy to access results and patient details,often have to log in multiple times to access the system and only recent results are available ,,,
Acute Trust (non-Foundation),Hull and East Yorkshire Hospitals NHS Trust,Lorenzo (CSC),Secondary / Tertiary Care Doctor,47.5,27.5,It tries to be compact and covering aspects,"Issues: 
not easy to work with
very slow..delays rest of the work.In the 21st century the syste should be faster.
Not much confident on the back up plan as if it is hacked or crashes completely.
too complicated,if things can be made easier and simpler,I could see 15-16 patients more effectively..at this current rate with the system...it will affect a doctors speed to do things.If systems are faster,even A/E waiting times will be reduced.
There has been loss of clinic lists,loss of pathological reports.Important scan requests have got cancelled without reasons.
",,,
Acute Trust (non-Foundation),Hull and East Yorkshire Hospitals NHS Trust,Lorenzo (CSC),Secondary / Tertiary Care Doctor,2.5,22.5,"nothing really, its manager friendly and is not ment for doctors","overall its a crap software, i am medical registrar and it take me about 20min to do LP but i have to spend 1 hour trying to find and print the request + system keep crashing + extremently slow.
 ",,,
Acute Foundation Trust,Tameside Hospital NHS Foundation Trust,Lorenzo (CSC),Secondary / Tertiary Care Doctor,27.5,12.5,"Lorenzo is a complocated , slow , poorly designed and poorly integrated and difficult to use and wastes a lot of our time and significantly reduced our productivity and patient interaction. This system should be scrapped and another simpler faster and user friendly re built.",This system need to be thrown away as they are continuously trying to change it only to make it worse.,,,
